record_id,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99
1,0.39122477,-0.49301222,-0.19221666,0.23296002,-0.22259556,0.18079588,0.5112225,0.35119557,0.30870688,0.24935645,0.5444489,-0.27903554,-0.14345199,0.11054489,-0.07407921,-0.57686853,-0.0017322203,-0.10818801,-0.04710688,0.631709,0.397028,0.37881106,-0.36372975,0.22341222,-0.335136,0.12160889,0.16119996,-0.34770402,0.30468056,-0.2427848,-0.18441002,0.20358458,0.30098763,0.43741447,0.21757777,0.11455234,0.36699235,0.34486422,0.13748133,-0.3291154,-0.0065417737,-0.15125066,0.14874846,-0.5499878,0.103637,-0.08493236,-0.5421078,-0.7079427,-0.041678663,0.0341471,-0.056970105,0.013838,-0.028811548,0.056520566,-0.7642143,-1.1356611,-0.22416666,0.5893667,0.4448467,0.07416023,-0.5030989,0.44973332,-0.58472484,-0.2240204,-0.05175389,-0.019236883,0.068765774,-0.10924111,0.19658755,0.05148222,0.44503444,0.6236234,-0.04822053,-0.28182223,0.063325986,-0.044123337,-0.20646729,0.14632067,0.13299567,0.003172232,0.43892115,-0.22592643,-0.6222202,-0.060363345,-0.6341806,0.0045943293,-0.5048287,-0.015126116,0.34113824,-0.4530679,-0.38171884,-0.0141400015,0.40628,0.19274534,0.403184,0.09270422,-0.443295,-0.46086147,0.03436533,-0.04212667
2,-0.05605619,0.14182404,0.24735346,-0.24466424,-0.06892014,0.17154403,-0.0727839,0.2721454,-0.0013710927,-0.02914533,0.3113124,0.107015826,0.25026882,-0.019865632,0.13542998,-0.3349888,0.14791702,0.17235889,-0.44573802,0.19470759,0.29135245,0.029627727,0.2078866,0.0065269065,0.16444665,-0.12748605,-0.14938512,-0.48065776,0.09210229,-0.15636516,-0.022452319,0.55037266,-0.12727039,0.024006488,0.019457793,0.3404431,-0.063130006,0.13464732,-0.01836874,-0.2052236,-0.38391778,-0.2584645,0.14275064,-0.39158154,-0.15362026,0.022607224,0.12345087,-0.34625056,0.06938798,-0.79477155,0.06334021,0.031401042,0.22708112,1.0340034,-0.22353333,-2.3722548,-0.1019594,-0.20828472,1.65578,0.48327982,-0.11964881,0.83236635,-0.3019573,0.17284553,0.69600976,-0.069193155,0.46370184,0.3849981,0.11400671,-0.17046362,-0.087819465,-0.29193276,-0.008881593,-0.43121818,0.16815731,0.1786567,-0.19143148,-0.030829376,-0.8799786,0.012642576,0.63665694,-0.01862437,-0.4682743,0.12486024,-1.3670278,-0.23859642,0.17434867,-0.18798524,-0.29785463,-0.32552764,-0.10555382,-0.17638905,-0.043215964,-0.03401884,-0.63383746,-0.069390014,-0.19258948,-0.16600364,0.44955194,0.16174409
3,-0.088073514,0.023327129,0.28398734,-0.16258927,-0.10521286,0.27119422,-0.09169264,0.14550975,0.17586342,0.021467933,0.26186153,0.08880164,0.19559897,-0.09553627,0.1042487,-0.21822011,0.1743451,0.26190475,-0.5172292,0.17767973,0.21389177,-0.06547316,0.1820453,-0.010760789,0.17500852,-0.00028819058,-0.2229474,-0.4777706,0.287826,-0.15272327,0.046974767,0.6100291,-0.084869996,0.11760056,0.05474227,0.30655295,-0.17850982,0.09175205,0.03347989,-0.29953387,-0.3624814,-0.15521418,0.20545997,-0.4728489,-0.21575694,0.025768828,0.14310826,-0.2562747,0.034106184,-0.7976555,0.041793976,0.13824451,0.23891912,1.0277461,-0.17725375,-2.1517766,-0.122764185,-0.06997932,1.5595777,0.43024725,-0.078767456,0.66202253,-0.29313868,0.15546504,0.6993763,-0.09928711,0.4389808,0.35210106,0.037918765,-0.20230654,-0.0264332,-0.28284785,0.115337536,-0.388527,0.13809131,0.1697385,-0.19388382,-0.021838892,-0.7275138,0.05990582,0.5190872,-0.12962069,-0.49338332,0.059757482,-1.3447578,-0.16285768,0.13622259,-0.11622466,-0.23160182,-0.23662677,-0.1115099,-0.08884693,0.01431842,-0.048997108,-0.44369993,-0.08194151,-0.11782659,-0.19080508,0.356162,0.124562226
4,-0.06958,0.14709999,0.21995875,-0.1040895,-0.118825994,-0.103227496,-0.089034,0.12009251,0.38152975,-0.07314805,0.19024998,-0.1233935,0.08680275,-0.40407753,-0.27928573,-0.32910275,-0.04319102,0.25065452,-0.10514,-0.120769,0.060369745,-0.28648752,0.029055253,0.1595005,-0.070045635,0.127255,-0.30259502,-0.16899401,0.1126255,-0.12019149,-0.0809455,1.0500475,-0.30356273,-0.050271,-0.059419993,0.25621277,-0.057042,-0.28141657,-0.011811249,-0.38087747,-0.20659,-0.037672505,-0.21136251,-0.18583375,-0.09195724,0.230416,0.09594091,-0.1304319,0.18928501,-0.8067175,0.21473251,-0.082292005,0.425595,1.0100551,-0.23029998,-2.0767477,-0.16846526,-0.20368625,1.2675875,0.38456273,0.19008,0.4543125,-0.038841173,0.127083,0.637115,-0.15449126,0.3599065,0.30560675,0.24160324,0.17993876,0.06437001,-0.2020925,-0.215065,-0.47675997,0.593095,-0.035162,-0.20265001,-0.258165,-0.83845747,0.162565,0.4738425,-0.13670574,-0.6448425,0.2965075,-1.0589426,-0.48076302,0.2119765,-0.43412247,-0.39649102,-0.27022877,0.093401246,-0.15041,-0.34636226,-0.055847496,-0.20001751,0.3111333,-0.02232175,-0.3189525,0.43619323,0.3381775
5,-0.10830972,0.31662738,0.36176002,-0.31274056,-0.16365777,0.23914264,-0.12053323,0.27508742,-0.03624091,-0.14243804,0.08989436,0.116289474,0.2218476,0.049879096,0.177918,-0.26459917,0.13625564,0.15517122,-0.38557383,0.27950874,0.305812,0.086191624,0.07814362,-0.022285806,0.29019323,0.06229391,-0.338636,-0.5681586,0.21910511,-0.17809802,-0.11509249,0.47423837,-0.046829414,-0.032968406,0.104884095,0.44072202,-0.1178302,0.107512504,0.093041606,-0.17470439,-0.37229297,-0.2705752,0.20135288,-0.5287166,-0.15777342,-0.015586054,0.13100137,-0.31141356,0.013311913,-0.8934038,0.07880966,-0.16855176,0.14767896,1.1388317,-0.24725562,-2.5450854,-0.025195502,-0.0835445,1.8251046,0.39085582,-0.16380268,0.8121954,-0.37035257,0.062298134,0.69939667,0.04167323,0.47783813,0.37071693,-0.007817671,-0.16438869,-0.10339713,-0.29835775,-0.10084729,-0.4136981,0.15053211,0.17820026,-0.23116428,-0.12116163,-0.7409343,-0.036893632,0.64371675,-0.05064305,-0.6287796,0.12880836,-1.4458245,-0.18599917,0.26558566,-0.092594676,-0.31304893,-0.40756625,-0.058899283,-0.10282653,-0.06381359,-0.11528595,-0.5368123,-0.10492896,-0.04321562,-0.13162416,0.383837,0.23348592
6,-0.15238436,0.069140166,0.33365604,-0.34371838,0.08535044,0.03956429,-0.16632482,0.092160605,0.1506641,-0.0038771967,0.20691533,0.018540382,0.25651452,-0.18088645,0.13631494,-0.04927026,0.1338583,-0.012980904,-0.2562309,0.19310261,0.24768892,-0.111349516,0.26980728,0.13732164,0.12845998,-0.20842108,-0.10567008,-0.271841,-0.11672672,-0.055697136,0.017250264,0.50097686,-0.12390701,0.12295512,0.041610353,0.2541177,-0.17627075,0.19202499,-0.06095394,-0.19314237,-0.27351022,-0.2316905,0.11163614,-0.26459447,-0.07667088,0.045925442,0.14764386,-0.18578324,0.09571943,-0.61500126,0.141081,0.029927904,0.24991566,0.8749785,-0.3883489,-2.0711777,-0.13824998,-0.16809739,1.4198776,0.35869783,-0.29055285,0.6900533,-0.22853594,0.18056278,0.708379,-0.029054534,0.26338208,0.18855609,0.23264755,-0.1891913,0.0063471314,-0.10977196,0.048529033,-0.29139754,0.14907727,0.062386863,-0.15452312,0.110286824,-0.737561,0.0037424732,0.44277975,-0.04098805,-0.3519755,0.03828804,-1.2510859,-0.18276651,0.1313813,-0.13484423,-0.2587013,-0.20037287,-0.034626864,0.058815174,-0.19452097,0.083050326,-0.4089469,-0.08798287,-0.18431818,-0.23268063,0.58747095,0.21342412
7,-0.21321557,0.25124976,0.31222522,-0.3163374,-0.04262496,-0.108786136,-0.015848912,0.19651218,-0.06233048,-0.052185204,0.15140383,-0.0705533,0.44587737,0.10283142,0.1722801,-0.26356894,0.22028087,0.033358816,-0.50555027,0.13332014,0.23941013,0.019291002,0.34048137,0.072793,0.087836534,-0.1202512,-0.005963473,-0.27028888,-0.25368068,-0.054981474,0.0042077485,0.44037426,-0.12592539,0.12784413,0.23035066,0.3251506,0.111791186,0.2956633,-0.12940657,-0.13091573,-0.33905104,-0.28178492,0.23065327,-0.30123204,-0.029038867,-0.116545096,0.19389942,-0.29215583,-0.0024803008,-0.7522108,0.15950559,-0.01932148,0.12800083,1.1879182,-0.3118353,-2.3415835,-0.042639438,-0.18842745,1.6122457,0.6150474,-0.22443597,0.7781531,-0.31632897,0.09896949,0.8216747,-0.12074534,0.55415297,0.30247754,0.30276325,-0.29589868,-0.09455091,-0.32855618,0.03583425,-0.37320855,0.2077456,0.16523227,-0.10315548,0.14457743,-1.0233713,-0.06277609,0.6083294,0.016452592,-0.4156274,0.15443772,-1.5777296,-0.27733445,0.1645572,-0.23736022,-0.34657788,-0.37967387,-0.12604347,-0.17698003,-0.22211336,0.056090523,-0.59369284,0.105012305,-0.37296394,-0.42338562,0.6716508,0.29165605
8,-0.07310398,0.26243094,0.31687403,-0.29787254,-0.0933158,0.230031,-0.16286191,0.19605064,-0.09340961,0.028096415,0.15637408,0.07120562,0.37799466,0.11990496,0.068024434,-0.31801394,0.109559074,0.21757308,-0.4464537,0.2924858,0.23120748,0.0571867,0.20976485,-0.036104128,0.18750963,-0.08130699,-0.12832911,-0.47512394,0.10230216,-0.22641891,0.04167588,0.43486106,0.0048192274,0.005377938,0.06159856,0.2782469,-0.10880853,0.19764894,0.020616595,-0.20595144,-0.3164878,-0.19039983,0.16775931,-0.4111051,-0.111346684,0.0056526046,0.16823575,-0.3457766,0.021359967,-0.82484597,0.08309646,-0.08080567,0.10187296,1.11525,-0.20144245,-2.2817693,-0.0098989075,-0.13458893,1.6679476,0.56746536,-0.1541906,0.8522824,-0.34665877,0.05846909,0.8182069,0.09473296,0.47412094,0.28382206,0.2158114,-0.23586708,0.00638696,-0.29391032,-0.088903256,-0.39868692,0.19787899,0.13710278,-0.15019782,-0.017545022,-0.89229333,-0.02174803,0.5955322,0.043699555,-0.4543359,0.101774186,-1.5144198,-0.2075165,0.09838803,-0.1872887,-0.2505592,-0.31244123,-0.108686365,-0.07652199,0.011089569,-0.07633918,-0.544947,-0.044745874,-0.19789675,-0.3051476,0.44014493,0.24674535
9,-0.073845014,-0.28677198,0.11701,-0.102495,0.16094998,-0.118611,0.113425,0.032681998,0.15219998,0.0891105,0.38622048,-0.46692,0.24164501,-0.740785,-0.02256,0.25156,-0.112431005,0.39463,-0.29124498,0.81654,-0.35843498,-0.482595,-0.027649984,0.655945,0.069109,0.45071504,0.33138,0.140138,-0.49719,-0.25002998,0.009770006,0.729585,-0.495902,0.07519,0.597645,0.04818,-0.69990003,0.34995,-0.037040003,-0.45213503,0.18836051,0.56022,0.21716501,0.014249999,0.12843,-0.01536499,0.26437,-0.372345,-0.01992999,-0.19348,0.280475,0.10069,0.683605,0.18446,-0.2915825,-0.800565,0.041035026,-0.16525051,1.099285,-0.265795,-0.103975005,0.1532185,-0.48864,0.401475,0.16634,-0.07720499,0.093807995,-0.3668,0.89643,-0.407165,0.57649,0.320135,0.314469,-0.15303,0.58804,0.549375,-0.21087,-0.0427125,-0.29153997,-0.25417998,0.025854997,-0.36781502,0.177605,-0.1545395,-0.4537385,-0.088149995,0.500695,-0.30262,-0.14629605,-0.23692499,0.226725,0.44087005,0.05799,-0.323815,-0.02741,0.209165,-0.0538,-0.64032996,0.81926,0.117355004
10,-0.03163966,0.25204822,0.44655222,-0.55449337,-0.19839111,0.27437365,0.115687,0.15482967,0.31537765,-0.036746554,0.5553278,0.28338635,0.2839247,-0.031657446,0.219388,-0.086562775,-0.084532894,0.36305523,-0.60223556,0.2233231,0.402636,0.22068334,0.23158677,0.14972666,0.34165204,0.23011859,-0.42796782,-0.2681333,0.2663761,-0.14843124,0.052060552,0.72861224,0.14887612,0.27562064,0.3007433,0.14960112,-0.39469433,0.16534978,0.24788867,-0.053687103,-0.22854222,-0.15283976,0.19178712,-0.502111,-0.34404033,-0.03542833,0.016897785,-0.22836621,0.22806352,-0.7514478,-0.0120600015,0.060618885,0.21379147,0.77145666,-0.37237668,-1.8988489,-0.17600432,0.288961,1.4113089,0.59515554,0.06313855,0.80567634,-0.6484944,0.13029283,0.49961984,-0.13354822,0.5073998,0.26147455,-0.07110778,0.029887,0.18163031,-0.116144456,0.35612923,-0.42140234,0.025415454,0.29180515,-0.22147645,-0.012320446,-0.5872921,-0.020855779,0.30707002,-0.08717366,-0.6797911,-0.02019111,-1.2073718,-0.2944369,0.15886445,-0.3927144,-0.59717375,-0.1830661,-0.06754589,-0.09046743,0.032677777,-0.002735999,-0.41143858,-0.144648,-0.087889336,-0.060834553,0.3258622,0.32683635
