userName,score,content,at,thumbsUpCount,source,category
Kayanat Anika,1,honestly think problem cut cant download,2026-03-12 23:21:40,0,ali-express_reviews,other
Nunya Biz,5,apparently set setting notification turn specific one hate spammed company ignores done need notified 5 time day think need know fingernail clipper sale stop,2026-03-12 22:42:39,4,ali-express_reviews,ads_promotions
Samarth Sandeep,1,far worst app bought 3 product non came contact shipping company instantly hang highly would not recommend 5 star review probably bot one worst apps not install use happen friend,2026-03-12 22:14:26,0,ali-express_reviews,delivery_shipping
Rubysu aka Natalie Debler,3,first package arrived counterfeit postage pay extra 1375 get local post office hope 2 not happen way,2026-03-12 21:38:03,0,ali-express_reviews,delivery_shipping
Toni Dawn Moore,4,never shopped yet,2026-03-12 21:24:39,0,ali-express_reviews,other
Asia Johnson,3,buy guy,2026-03-12 20:36:18,0,ali-express_reviews,other
Lebohang Pasane,1,worst experience ever nice bought bought became cold negligent lied said order country never arrived that go scamming people judgement surely befall forgive no string attached feel sorry,2026-03-12 20:04:32,0,ali-express_reviews,other
Charles Jenkins,5,like app live couple day better survey,2026-03-12 20:00:07,0,ali-express_reviews,app_usability
Falodun Akinwale,4,nice alpha good genuine product vendor good,2026-03-12 19:48:10,0,ali-express_reviews,other
e G,1,emma give one star false advertisement pricing,2026-03-12 19:22:18,0,ali-express_reviews,other
Dash Mxt,1,your need product quickly may get heart attack coz take forever may even forget think scam,2026-03-12 19:19:55,0,ali-express_reviews,scam_trust
Honor Ao,1,item ordered never arrived also reorder still nothing waste money ask,2026-03-12 18:57:06,0,ali-express_reviews,other
Michael Ward,1,live tried contacting aliexpress numerous occasion no reply ordered item january order still not arrived checked tracker saying shipment cancelled no explanation arrive lost patience themwhy cant communication,2026-03-12 18:54:50,0,ali-express_reviews,customer_service
Nyanda,2,people scammer buy something come bulk one like turquoise ring come one size mix come 2030pcs not received done show mysteriously blame carrier item bought single item set oh show fine no problem done want refund back anything not honest godly people facade sale product,2026-03-12 18:47:06,1,ali-express_reviews,refund_return
Karl Carroll,3,need app track package cant online browser exactly,2026-03-12 18:00:39,0,ali-express_reviews,delivery_shipping
Cynthia Butler,3,ad said pick 3 free item picked said would cost 800 receive freebase advertising,2026-03-12 17:20:41,0,ali-express_reviews,pricing_discount
GIZMO SATANICO,1,not sign 10003 server network error,2026-03-12 16:56:00,0,ali-express_reviews,app_usability
Rahl Gadu,5,למה זה לא מוריד לי ניסיתי אד 24 שאות אפילו יתמול,2026-03-12 16:48:37,0,ali-express_reviews,other
Zelda Hulley,1,funny discount removed soon need pay,2026-03-12 14:39:26,0,ali-express_reviews,pricing_discount
Sara Oliver,5,easy shopping fun innovative broad selection,2026-03-12 14:36:42,0,ali-express_reviews,other
Candy Biehle,1,never got stuff paid watch daughter erika kid cup cap head pissed please fix problem,2026-03-12 14:12:58,0,ali-express_reviews,other
Joni Shkembi,1,high price selling diamond,2026-03-12 13:05:50,0,ali-express_reviews,pricing_discount
Jagger Norden,2,price good hate choice thing almost everything choice want buy one thing not three please remove aliexpress,2026-03-12 13:02:02,1,ali-express_reviews,pricing_discount
Jesson,1,brought faulty item refused credit refund unable submit video picture due site not accepting file even though format correct uninstalling mere 12,2026-03-12 12:23:59,0,ali-express_reviews,refund_return
Jamie Harris,1,unsubscribe certain notification category still receive notification category practice unlawful,2026-03-12 10:41:23,0,ali-express_reviews,ads_promotions
Michael K,1,aliexpress reached new low not fail deliver combined shipment multiple item also provided false tracking information paypal block legitimate refund support nonexistent buyer protection complete fabrication escalating fraudulent transaction credit card company force chargeback not trust platform money lie payment processor avoid taking responsibility,2026-03-12 10:28:27,1,ali-express_reviews,delivery_shipping
rrockstaarr,1,terrible app haunt received order well month no refund keep replying someone get back within 2448 hour message every three day still response not buy,2026-03-12 10:18:33,1,ali-express_reviews,refund_return
Cynthia Swartout,1,not unsubscribed still get email not interested company done know still get email unsubscribed wish would stop sending email please thank,2026-03-12 09:46:43,0,ali-express_reviews,ads_promotions
John Ogba,1,bad experience bought fake damaged glass no compensation wasted 3299 nothing not use video camera glass twice stopped charging sudden glass pulled lens disappointed customer service said can not anything mean dispose glass lose money continue give bad feedback nothing done,2026-03-12 09:40:26,0,ali-express_reviews,refund_return
Martin Gray,1,tried ordered thing one offer package arrived yodel left doorstep hour finally got home opened half item missing customer support unable figure want refund item replacing keep trying blame courier edit went horrendous refund process raise refund per item missing got rejected no proof courier didst video opening crazy,2026-03-12 09:22:16,1,ali-express_reviews,delivery_shipping
Hans Ko,1,site dispose factory defect attractive price well advertised one thing shipped another customer service return refund nightmare many already stated done fall scam site,2026-03-12 09:12:24,1,ali-express_reviews,refund_return
Arminas Matulevicius,5,could n't say anything bad like amazon cheaper lot cheaper u get prize,2026-03-12 08:39:04,0,ali-express_reviews,other
Gary Shaw,3,ok play game shop really not,2026-03-12 08:08:25,0,ali-express_reviews,other
Thomas Arthur,5,amazed,2026-03-12 07:25:11,0,ali-express_reviews,other
See Ro,5,lapp è meravigliosa vogliamo di nov per nov tent lofferta del 099 pure 3 article con 3 di discount,2026-03-12 07:21:47,0,ali-express_reviews,pricing_discount
Senzo blessing Cele,5,yes pay,2026-03-12 06:20:22,0,ali-express_reviews,other
Zachary Hernandez,1,signed account instantly got account locked could even make first purchase appealed still didst tell account locked waste time,2026-03-12 05:26:23,0,ali-express_reviews,other
Paris Tunc,1,crime gang,2026-03-12 04:52:53,0,ali-express_reviews,other
Paris Tunc,1,r seller send scam 2kg battery instead 20kg 160 charged 2 week make still stuck limbo read review well known con artist many people l criminal minded company not cancelling fraud everyday multiple time nothing warned put bank case give total black list brand didst listen got email paying willpenalise,2026-03-12 04:45:50,0,ali-express_reviews,ads_promotions
Emily Coleman,5,everything cheap easy order receive time always good product,2026-03-12 01:45:45,0,ali-express_reviews,pricing_discount
Ankur Jain,1,simple word pathetic experience aliexpress best whoever using portal,2026-03-12 01:40:07,0,ali-express_reviews,other
ПСИХОПАТИНА,1,lie every turn,2026-03-12 01:37:03,0,ali-express_reviews,other
Eyo Peter,3,ordering nigeria know one way trip item damaged wont able return live lost serious money almost 100k one seller sent ambled display doe n't work platform doe n't realistic return logistics nigeria like temp take risk go ahead,2026-03-12 01:16:13,1,ali-express_reviews,refund_return
Leashanta Chism,1,wish could give minus package stolen even police report could n't get refund,2026-03-12 01:02:10,0,ali-express_reviews,delivery_shipping
Ruth Mawson,1,account locked live never used aliexpress download thing your account locked tried sign would n't email phone number first no uk code suddenly im aliexpress site go look something please sign phone number please enter valid phone number enter time uk code front please enter valid phone number never uninstalling,2026-03-12 00:58:13,2,ali-express_reviews,ads_promotions
Scott Conder,1,seller photo description misleading price gotten high seller raised price 500 item not worth search algorithm garbage aliexpress need govern seller action better waste much time looking want get frustrated go ebay instead,2026-03-12 00:27:03,4,ali-express_reviews,pricing_discount
Mr Smith,1,stopped accepting debitcredit card,2026-03-12 00:05:51,0,ali-express_reviews,other
Faith McLean,5,love aliexpress there much better another online place buy stuff buy something 2 done spend 20 like website far not disappointed anything bought bought lot stuff month half live bought 100 item not,2026-03-11 23:58:23,0,ali-express_reviews,other
Christopher Atkin,5,thought going like wish temp make wild claim free stuff discount buck weirdest thing happened though telling truth agent making extravagant claim like others one making honor whole family ordering long shipping time downside not even enough knock star tell advance long take,2026-03-11 23:56:47,0,ali-express_reviews,delivery_shipping
