scheme,representation,model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr
s1,text,vader,0.8875,0.8855036767330621,0.9035714285714286,0.8895687645687645,
s1,text,afinn_negation,0.7625,0.767094017094017,0.7825396825396825,0.7649463671321595,
s1,tfidf,svm_linear,0.7125,0.7630718954248366,0.667063492063492,0.6777959109660455,0.8310507465698144
s1,tfidf,linear_regression,0.5625,0.6400050929462694,0.5547619047619048,0.5575757575757575,0.7503793942247331
s1,glove,svm_linear,0.625,0.619828749592815,0.6011904761904763,0.5990097253685657,0.790227221773832
s1,glove,linear_regression,0.5,0.5232323232323233,0.49682539682539684,0.4988233590384128,0.6484611245628195
s2,text,vader,0.8375,0.8410267550052497,0.8527777777777779,0.8374275387028575,
s2,text,afinn_negation,0.65,0.6710374971244537,0.684126984126984,0.6551226551226551,
s2,tfidf,svm_linear,0.675,0.7091503267973857,0.6277777777777779,0.6339815948139081,0.8197343287597526
s2,tfidf,linear_regression,0.6,0.6330924420355314,0.5706349206349207,0.5748050682261209,0.7503740695901713
s2,glove,svm_linear,0.6625,0.6529624893435635,0.638095238095238,0.6423889511011572,0.7855457470182046
s2,glove,linear_regression,0.55,0.5533910533910533,0.5436507936507936,0.5440811776215503,0.6713341852748632
s3,text,vader,0.8,0.8072487949573599,0.8134920634920634,0.8035060975609755,
s3,text,afinn_negation,0.65,0.6607836607836607,0.6734126984126984,0.6570387717928701,
s3,tfidf,svm_linear,0.6875,0.7838383838383839,0.6373015873015874,0.6516339869281046,0.827204847098915
s3,tfidf,linear_regression,0.5875,0.6898864809081527,0.5714285714285714,0.5646741386467413,0.7718019123845394
s3,glove,svm_linear,0.6375,0.6246046046046047,0.6166666666666667,0.6192511192511192,0.8045857994798672
s3,glove,linear_regression,0.6,0.6165579710144927,0.6115079365079364,0.5999776974887372,0.7324000650165905
